date,close
2018-10-12,3812.270
2018-10-15,3737.970
2018-10-16,3700.230
2018-10-17,3728.170
2018-10-18,3651.090
2018-10-19,3752.420
2018-10-22,3904.410
2018-10-23,3812.220
2018-10-24,3811.730
2018-10-25,3821.600
2018-10-26,3823.640
2018-10-29,3729.130
2018-10-30,3765.160
2018-10-31,3808.410
2018-11-01,3815.730
2018-11-02,3916.030
2018-11-05,3903.150
2018-11-06,3894.790
2018-11-07,3876.550
2018-11-08,3871.180
2018-11-09,3830.230
2018-11-12,3891.640
2018-11-13,3925.070
2018-11-14,3893.830
2018-11-15,3929.080
2018-11-16,3957.740
2018-11-19,3999.460
2018-11-20,3911.210
2018-11-21,3924.040
2018-11-22,3911.120
2018-11-23,3822.980
2018-11-26,3822.080
2018-11-27,3813.210
2018-11-28,3855.170
2018-11-29,3813.630
2018-11-30,3846.950
2018-12-03,3945.490
2018-12-04,3957.120
2018-12-05,3943.370
2018-12-06,3879.010
2018-12-07,3901.040
2018-12-10,3864.740
2018-12-11,3881.000
2018-12-12,3907.650
2018-12-13,3956.960
2018-12-14,3898.880
2018-12-17,3924.750
2018-12-18,3896.490
2018-12-19,3870.460
2018-12-20,3867.280
2018-12-21,3839.930
2018-12-24,3867.240
2018-12-25,3843.110
2018-12-26,3841.530
2018-12-27,3823.920
2018-12-28,3836.870
2019-01-02,3779.250
2019-01-03,3756.760
2019-01-04,3830.930
2019-01-07,3883.360
2019-01-08,3890.530
2019-01-09,3923.410
2019-01-10,3907.760
2019-01-11,3923.140
2019-01-14,3917.070
2019-01-15,3954.310
2019-01-16,3959.030
2019-01-17,3950.540
2019-01-18,3994.560
2019-01-21,4000.720
2019-01-22,3962.710
2019-01-23,3979.630
2019-01-24,3994.160
2019-01-25,4013.570
2019-01-28,4014.530
2019-01-29,4025.020
2019-01-30,4000.740
2019-01-31,4012.070
2019-02-01,4065.240
2019-02-11,4127.000
2019-02-12,4163.670
2019-02-13,4216.610
2019-02-14,4216.830
2019-02-15,4159.940
2019-02-18,4260.310
2019-02-19,4255.220
2019-02-20,4258.250
2019-02-21,4230.380
2019-02-22,4287.410
2019-02-25,4470.260
2019-02-26,4453.780
2019-02-27,4444.220
2019-02-28,4440.870
2019-03-01,4502.030
2019-03-04,4555.800
2019-03-05,4608.020
2019-03-06,4664.230
2019-03-07,4658.760
2019-03-08,4469.650
2019-03-11,4562.260
2019-03-12,4598.850
2019-03-13,4557.100
2019-03-14,4493.980
2019-03-15,4574.030
2019-03-18,4703.470
2019-03-19,4679.070
2019-03-20,4685.050
2019-03-21,4705.450
2019-03-22,4734.400
2019-03-25,4662.450
2019-03-26,4592.350
2019-03-27,4659.770
2019-03-28,4612.980
2019-03-29,4742.960
2019-04-01,4881.110
2019-04-02,4885.610
2019-04-03,4954.020
2019-04-04,5021.840
2019-04-08,5072.000
2019-04-09,5066.940
2019-04-10,5080.540
2019-04-11,5018.390
2019-04-12,4993.350
2019-04-15,4940.220
2019-04-16,5011.660
2019-04-17,5032.020
2019-04-18,4968.620
2019-04-19,4993.680
2019-04-22,4891.720
2019-04-23,4854.260
2019-04-24,4897.190
2019-04-25,4769.560
2019-04-26,4705.720
2019-04-29,4672.430
